"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","19.03.2015 03:00 - 19.03.2015 04:00 (UTC)","221","n/e","n/e","2336","1787","260","n/e","n/e","n/e","","3240","4506","361","n/e","50679","n/e","n/e","0","253","n/e","2602"
"France (FR)","19.03.2015 04:00 - 19.03.2015 05:00 (UTC)","221","n/e","n/e","2364","2090","260","n/e","n/e","n/e","","2777","4677","575","n/e","50554","n/e","n/e","0","253","n/e","2559"
"France (FR)","19.03.2015 05:00 - 19.03.2015 06:00 (UTC)","222","n/e","n/e","2684","2366","261","n/e","n/e","n/e","","361","5279","1861","n/e","51100","n/e","n/e","27","252","n/e","2421"
"France (FR)","19.03.2015 06:00 - 19.03.2015 07:00 (UTC)","222","n/e","n/e","2856","2578","271","n/e","n/e","n/e","1105","","5716","3242","n/e","52045","n/e","n/e","219","253","n/e","2401"
"France (FR)","19.03.2015 07:00 - 19.03.2015 08:00 (UTC)","222","n/e","n/e","2904","2728","271","n/e","n/e","n/e","1083","","5841","3799","n/e","52139","n/e","n/e","754","252","n/e","2259"
"France (FR)","19.03.2015 08:00 - 19.03.2015 09:00 (UTC)","211","n/e","n/e","2901","2689","269","n/e","n/e","n/e","1047","","5884","3941","n/e","52115","n/e","n/e","1438","253","n/e","2193"
"France (FR)","19.03.2015 09:00 - 19.03.2015 10:00 (UTC)","209","n/e","n/e","2835","2675","269","n/e","n/e","n/e","1009","","5857","3325","n/e","52103","n/e","n/e","2052","252","n/e","2067"
"France (FR)","19.03.2015 10:00 - 19.03.2015 11:00 (UTC)","209","n/e","n/e","2856","2772","271","n/e","n/e","n/e","786","","5620","3704","n/e","52086","n/e","n/e","2536","247","n/e","1828"
"France (FR)","19.03.2015 11:00 - 19.03.2015 12:00 (UTC)","219","n/e","n/e","2830","2652","270","n/e","n/e","n/e","722","","5385","2883","n/e","51978","n/e","n/e","2812","245","n/e","1739"
"France (FR)","19.03.2015 12:00 - 19.03.2015 13:00 (UTC)","221","n/e","n/e","2817","2703","347","n/e","n/e","n/e","556","","5031","2906","n/e","51977","n/e","n/e","2859","250","n/e","1793"
"France (FR)","19.03.2015 13:00 - 19.03.2015 14:00 (UTC)","221","n/e","n/e","2819","2702","348","n/e","n/e","n/e","30","","4723","3245","n/e","51825","n/e","n/e","2725","252","n/e","1881"
"France (FR)","19.03.2015 14:00 - 19.03.2015 15:00 (UTC)","208","n/e","n/e","2766","2570","274","n/e","n/e","n/e","","646","4653","2651","n/e","51587","n/e","n/e","2269","253","n/e","1966"
"France (FR)","19.03.2015 15:00 - 19.03.2015 16:00 (UTC)","210","n/e","n/e","2633","2596","272","n/e","n/e","n/e","","550","4961","2798","n/e","51633","n/e","n/e","1499","252","n/e","2017"
"France (FR)","19.03.2015 16:00 - 19.03.2015 17:00 (UTC)","215","n/e","n/e","2950","2722","273","n/e","n/e","n/e","235","","5254","3696","n/e","51939","n/e","n/e","656","247","n/e","1956"
"France (FR)","19.03.2015 17:00 - 19.03.2015 18:00 (UTC)","221","n/e","n/e","3084","2645","270","n/e","n/e","n/e","747","","5940","3818","n/e","52025","n/e","n/e","140","249","n/e","1946"
"France (FR)","19.03.2015 18:00 - 19.03.2015 19:00 (UTC)","221","n/e","n/e","3117","2772","271","n/e","n/e","n/e","1406","","6262","4940","n/e","52069","n/e","n/e","30","252","n/e","1923"
"France (FR)","19.03.2015 19:00 - 19.03.2015 20:00 (UTC)","221","n/e","n/e","3032","2655","269","n/e","n/e","n/e","1066","","6076","4032","n/e","52077","n/e","n/e","0","254","n/e","1905"
"France (FR)","19.03.2015 20:00 - 19.03.2015 21:00 (UTC)","221","n/e","n/e","2992","2571","269","n/e","n/e","n/e","222","","5715","1891","n/e","51967","n/e","n/e","0","255","n/e","1925"
"France (FR)","19.03.2015 21:00 - 19.03.2015 22:00 (UTC)","221","n/e","n/e","2942","2452","270","n/e","n/e","n/e","343","","5641","1732","n/e","51553","n/e","n/e","0","254","n/e","1929"
"France (FR)","19.03.2015 22:00 - 19.03.2015 23:00 (UTC)","221","n/e","n/e","2791","2483","270","n/e","n/e","n/e","669","","5454","2672","n/e","50899","n/e","n/e","0","254","n/e","1886"
