"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Ireland (IE)","01.01.2022 19:00 - 01.01.2022 19:30 (UTC)","n/e","n/e","n/e","445","239","0","n/e","101","n/e","108","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2226"
"Ireland (IE)","01.01.2022 19:30 - 01.01.2022 20:00 (UTC)","n/e","n/e","n/e","427","209","0","n/e","99","n/e","181","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2113"
"Ireland (IE)","01.01.2022 20:00 - 01.01.2022 20:30 (UTC)","n/e","n/e","n/e","489","221","0","n/e","102","n/e","151","0","160","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2062"
"Ireland (IE)","01.01.2022 20:30 - 01.01.2022 21:00 (UTC)","n/e","n/e","n/e","528","209","0","n/e","98","n/e","96","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2051"
"Ireland (IE)","01.01.2022 21:00 - 01.01.2022 21:30 (UTC)","n/e","n/e","n/e","394","209","0","n/e","85","n/e","20","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2088"
"Ireland (IE)","01.01.2022 21:30 - 01.01.2022 22:00 (UTC)","n/e","n/e","n/e","355","212","0","n/e","48","n/e","28","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2097"
"Ireland (IE)","01.01.2022 22:00 - 01.01.2022 22:30 (UTC)","n/e","n/e","n/e","375","217","0","n/e","46","n/e","26","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1888"
"Ireland (IE)","01.01.2022 22:30 - 01.01.2022 23:00 (UTC)","n/e","n/e","n/e","345","208","0","n/e","46","n/e","8","1","151","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1855"
"Ireland (IE)","01.01.2022 23:00 - 01.01.2022 23:30 (UTC)","n/e","n/e","n/e","361","211","0","n/e","49","n/e","0","228","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1662"
"Ireland (IE)","01.01.2022 23:30 - 02.01.2022 00:00 (UTC)","n/e","n/e","n/e","362","214","0","n/e","50","n/e","0","227","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1982"
"Ireland (IE)","02.01.2022 00:00 - 02.01.2022 00:30 (UTC)","n/e","n/e","n/e","376","214","0","n/e","50","n/e","0","226","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1868"
"Ireland (IE)","02.01.2022 00:30 - 02.01.2022 01:00 (UTC)","n/e","n/e","n/e","369","212","0","n/e","50","n/e","0","225","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1853"
"Ireland (IE)","02.01.2022 01:00 - 02.01.2022 01:30 (UTC)","n/e","n/e","n/e","361","213","0","n/e","50","n/e","0","224","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1861"
"Ireland (IE)","02.01.2022 01:30 - 02.01.2022 02:00 (UTC)","n/e","n/e","n/e","210","220","0","n/e","50","n/e","0","222","160","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1942"
"Ireland (IE)","02.01.2022 02:00 - 02.01.2022 02:30 (UTC)","n/e","n/e","n/e","194","211","0","n/e","50","n/e","0","222","158","n/e","n/e","n/e","24","n/e","n/e","n/e","n/e","1706"
"Ireland (IE)","02.01.2022 02:30 - 02.01.2022 03:00 (UTC)","n/e","n/e","n/e","193","211","0","n/e","50","n/e","0","221","158","n/e","n/e","n/e","24","n/e","n/e","n/e","n/e","1700"
"Ireland (IE)","02.01.2022 03:00 - 02.01.2022 03:30 (UTC)","n/e","n/e","n/e","207","218","0","n/e","50","n/e","0","219","160","n/e","n/e","n/e","27","n/e","n/e","n/e","n/e","1658"
"Ireland (IE)","02.01.2022 03:30 - 02.01.2022 04:00 (UTC)","n/e","n/e","n/e","188","209","0","n/e","50","n/e","0","218","158","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","1723"
"Ireland (IE)","02.01.2022 04:00 - 02.01.2022 04:30 (UTC)","n/e","n/e","n/e","199","214","0","n/e","50","n/e","0","217","159","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","1779"
"Ireland (IE)","02.01.2022 04:30 - 02.01.2022 05:00 (UTC)","n/e","n/e","n/e","186","209","0","n/e","50","n/e","0","217","159","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","1871"
