"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","22.12.2022 03:00 - 22.12.2022 04:00 (UTC)","359","n/e","n/e","407","0","n/e","n/e","n/e","n/e","692","995","1690","874","n/e","n/e","22","n/e","0","n/e","22","1931"
"Portugal (PT)","22.12.2022 04:00 - 22.12.2022 05:00 (UTC)","358","n/e","n/e","407","0","n/e","n/e","n/e","n/e","713","823","1652","907","n/e","n/e","24","n/e","0","n/e","20","2029"
"Portugal (PT)","22.12.2022 05:00 - 22.12.2022 06:00 (UTC)","361","n/e","n/e","418","0","n/e","n/e","n/e","n/e","797","873","1512","984","n/e","n/e","24","n/e","0","n/e","15","1884"
"Portugal (PT)","22.12.2022 06:00 - 22.12.2022 07:00 (UTC)","337","n/e","n/e","421","0","n/e","n/e","n/e","n/e","1340","432","1622","988","n/e","n/e","21","n/e","0","n/e","12","1775"
"Portugal (PT)","22.12.2022 07:00 - 22.12.2022 08:00 (UTC)","326","n/e","n/e","494","0","n/e","n/e","n/e","n/e","1627","94","2114","1115","n/e","n/e","21","n/e","1","n/e","12","1725"
"Portugal (PT)","22.12.2022 08:00 - 22.12.2022 09:00 (UTC)","325","n/e","n/e","547","0","n/e","n/e","n/e","n/e","1402","62","2130","976","n/e","n/e","22","n/e","79","n/e","16","1740"
"Portugal (PT)","22.12.2022 09:00 - 22.12.2022 10:00 (UTC)","316","n/e","n/e","452","0","n/e","n/e","n/e","n/e","1231","435","2065","957","n/e","n/e","22","n/e","262","n/e","23","1826"
"Portugal (PT)","22.12.2022 10:00 - 22.12.2022 11:00 (UTC)","304","n/e","n/e","456","0","n/e","n/e","n/e","n/e","876","305","1837","935","n/e","n/e","22","n/e","465","n/e","25","1926"
"Portugal (PT)","22.12.2022 11:00 - 22.12.2022 12:00 (UTC)","293","n/e","n/e","458","0","n/e","n/e","n/e","n/e","525","416","1771","931","n/e","n/e","23","n/e","556","n/e","25","2061"
"Portugal (PT)","22.12.2022 12:00 - 22.12.2022 13:00 (UTC)","293","n/e","n/e","547","0","n/e","n/e","n/e","n/e","538","389","1637","921","n/e","n/e","24","n/e","542","n/e","24","2120"
"Portugal (PT)","22.12.2022 13:00 - 22.12.2022 14:00 (UTC)","297","n/e","n/e","512","0","n/e","n/e","n/e","n/e","548","595","1638","953","n/e","n/e","24","n/e","508","n/e","20","2160"
"Portugal (PT)","22.12.2022 14:00 - 22.12.2022 15:00 (UTC)","302","n/e","n/e","517","0","n/e","n/e","n/e","n/e","555","571","1624","959","n/e","n/e","23","n/e","365","n/e","18","2095"
